000000	010000	020000	030000	040000	050000	060000	070000
187000	197000	1A7000	1B7000	1C7000	1D7000	1E7000	1F7000
207000	217000	227000	237000	247000	257000	267000	277000
287000	297000	2A7000	2B7000	2C7000	2D7000	2E7000	2F7000
307000	317000	327000	337000	347000	357000	367000	377000
387000	397000	3A7000	3B7000	3C7000	3D7000	3E7000	3F7000

008000	018000	028000	038000	048000	058000	068000	078000
088000	098000	0A8000	0B8000	0C8000	0D8000	0E8000	0F8000
108000	118000	128000	138000	148000	158000	168000	178000
188000	198000	1A8000	1B8000	1C8000	1D8000	1E8000	1F8000
208000	218000	228000	238000	248000	258000	268000	278000
288000	298000	2A8000	2B8000	2C8000	2D8000	2E8000	2F8000
308000	318000	328000	338000	348000	358000	368000	378000
388000	398000	3A8000	3B8000	3C8000	3D8000	3E8000	3F8000
009000	019000	029000	039000	049000	059000	069000	079000
089000	099000	0A9000	0B9000	0C9000	0D9000	0E9000	0F9000
109000	119000	129000	139000	149000	159000	169000	179000
189000	199000	1A9000	1B7000	1C9000	1D9000	1E9000	1F9000
209000	219000	229000	239000	249000	259000	269000	279000
289000	299000	2A9000	2B9000	2C9000	2D9000	2E9000	2F9000
309000	319000	329000	339000	349000	359000	369000	379000
389000	399000	3A9000	3B9000	3C9000	3D9000	3E9000	3F9000

00A000	01A000	02A000	03A000	04A000	05A000	06A000	07A000
08A000	09A000	0AA000	0BA000	0CA000	0DA000	0EA000	0FA000
10A000	11A000	12A000	13A000	14A000	15A000	16A000	17A000
18A000	19A000	1AA000	1BA000	1CA000	1DA000	1EA000	1FA000
20A000	21A000	22A000	23A000	24A000	25A000	26A000	27A000
28A000	29A000	2AA000	2BA000	2CA000	2DA000	2EA000	2FA000
30A000	31A000	32A000	33A000	34A000	35A000	36A000	37A000
38A000	39A000	3AA000	3BA000	3CA000	3DA000	3EA000	3FA000
00B000	01B000	02B000	03B000	04B000	05B000	06B000	07B000
08B000	09B000	0AB000	0BB000	0CB000	0DB000	0EB000	0FB000
10B000	11B000	12B000	13B000	14B000	15B000	16B000	17B000
18B000	19B000	1AB000	1BB000	1CB000	1DB000	1EB000	1FB000
20B000	21B000	22B000	23B000	24B000	25B000	26B000	27B000
28B000	29B000	2AB000	2BB000	2CB000	2DB000	2EB000	2FB000
30B000	31B000	32B000	33B000	34B000	35B000	36B000	37B000
38B000	39B000	3AB000	3BB000	3CB000	3DB000	3EB000	3FB000

00C000	01C000	02C000	03C000	04C000	05C000	06C000	07C000
08C000	09C000	0AC000	0BC000	0CC000	0DC000	0EC000	0FC000
10C000	11C000	12C000	13C000	14C000	15C000	16C000	17C000
18C000	19C000	1AC000	1BC000	1CC000	1DC000	1EC000	1FC000
20C000	21C000	22C000	23C000	24C000	25C000	26C000	27C000
28C000	29C000	2AC000	2BC000	2CC000	2DC000	2EC000	2FC000
30C000	31C000	32C000	33C000	34C000	35C000	36C000	37C000
38C000	39C000	3AC000	3BC000	3CC000	3DC000	3EC000	3FC000
00D000	01D000	02D000	03D000	04D000	05D000	06D000	07D000
08D000	09D000	0AD000	0BD000	0CD000	0DD000	0ED000	0FD000
10D000	11D000	12D000	13D000	14D000	15D000	16D000	17D000
18D000	19D000	1AD000	1BD000	1CD000	1DD000	1ED000	1FD000
20D000	21D000	22D000	23D000	24D000	25D000	26D000	27D000
28D000	29D000	2AD000	2BD000	2CD000	2DD000	2ED000	2FD000
30D000	31D000	32D000	33D000	34D000	35D000	36D000	37D000
38D000	39D000	3AD000	3BD000	3CD000	3DD000	3ED000	3FD000

00E000	01E000	02E000	03E000	04E000	05E000	06E000	07E000
08E000	09E000	0AE000	0BE000	0CE000	0DE000	0EE000	0FE000
10E000	11E000	12E000	13E000	14E000	15E000	16E000	17E000
18E000	19E000	1AE000	1BE000	1CE000	1DE000	1EE000	1FE000
20E000	21E000	22E000	23E000	24E000	25E000	26E000	27E000
28E000	29E000	2AE000	2BE000	2CE000	2DE000	2EE000	2FE000
30E000	31E000	32E000	33E000	34E000	35E000	36E000	37E000
38E000	39E000	3AE000	3BE000	3CE000	3DE000	3EE000	3FE000
00F000	01F000	02F000	03F000	04F000	05F000	06F000	07F000
08F000	09F000	0AF000	0BF000	0CF000	0DF000	0EF000	0FF000
10F000	11F000	12F000	13F000	14F000	15F000	16F000	17F000
18F000	19F000	1AF000	1BF000	1CF000	1DF000	1EF000	1FF000
20F000	21F000	22F000	23F000	24F000	25F000	26F000	27F000
28F000	29F000	2AF000	2BF000	2CF000	2DF000	2EF000	2FF000
30F000	31F000	32F000	33F000	34F000	35F000	36F000	37F000
38F000	39F000	3AF000	3BF000	3CF000	3DF000	3EF000	3FF000
